id	signs_file	signs_offset	signs_length	signs_type	signs_lang	translation	translation_lang	glosses	topic	signer_id
--7E2sU6zP4_10-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_10-5-rgb_front.npy	3226	336	i3d	asl	And I call them decorative elements because basically all they're meant to do is to enrich and color the page.	en		5	
--7E2sU6zP4_11-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_11-5-rgb_front.npy	3562	674	i3d	asl	So they don't really have much of a symbolic meaning other than maybe life is richer, life is beautiful, but they've become so beautifully stylized and so you find them in different illuminative being rendered in very different ways.	en		5	
--7E2sU6zP4_12-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_12-5-rgb_front.npy	4236	329	i3d	asl	Now this is very, this is actually an insert of a kind of an envelope for stationary, and this is a very Italian design.	en		5	
--7E2sU6zP4_13-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_13-5-rgb_front.npy	4578	148	i3d	asl	This is all the you know, take off on the idea of the acanthus leaf.	en		5	
--7E2sU6zP4_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_5-5-rgb_front.npy	1398	232	i3d	asl	It's almost has a feathery like posture to it.	en		5	
--7E2sU6zP4_6-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_6-5-rgb_front.npy	1630	514	i3d	asl	And so, it's used in architecture as a decorative element in architecture on columns and so on, and it's also used a great deal in illumination.	en		5	
--7E2sU6zP4_7-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_7-5-rgb_front.npy	2150	232	i3d	asl	And so what's happened with the idea of acanthus leaf, is that it has is taken on all these different creative looks.	en		5	
--7E2sU6zP4_8-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_8-5-rgb_front.npy	2381	448	i3d	asl	And it has been wildly colored so you can look at some an acanthus leaf and you can start with the idea of a black and white drawing.	en		5	
--7E2sU6zP4_9-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--7E2sU6zP4_9-5-rgb_front.npy	2831	350	i3d	asl	Here, actually, I have some samples of traced acanthus leaves from different illuminated manuscripts.	en		5	
--8pSDeC-fg_0-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_0-5-rgb_front.npy	36	13	i3d	asl	Hi.	en		7	
--8pSDeC-fg_1-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_1-5-rgb_front.npy	49	65	i3d	asl	My name is Dr. Art Bowler.	en		7	
--8pSDeC-fg_10-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_10-5-rgb_front.npy	1138	171	i3d	asl	Are you always focused on the positive aspects of your physical self instead of the negative?	en		7	
--8pSDeC-fg_11-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_11-5-rgb_front.npy	1309	92	i3d	asl	If so you have high self esteem.	en		7	
--8pSDeC-fg_12-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_12-5-rgb_front.npy	1404	278	i3d	asl	Low self esteem tends to bring us down and there's a set of thoughts or cognitions that tend to go with low self esteem.	en		7	
--8pSDeC-fg_13-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_13-5-rgb_front.npy	1686	155	i3d	asl	Such as I am unlove, unlovable and no one will like me.	en		7	
--8pSDeC-fg_14-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_14-5-rgb_front.npy	1847	468	i3d	asl	By doing cognitive therapy and working on those thoughts, we can help our clients to feel better about themselves by gaining a more accurate appraisal of themselves, their situation and their environment.	en		7	
--8pSDeC-fg_15-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_15-5-rgb_front.npy	2327	175	i3d	asl	It's really important to notice if you have low self esteem because then you can do something about it.	en		7	
--8pSDeC-fg_16-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_16-5-rgb_front.npy	2501	195	i3d	asl	This is Dr. Art Bowler and this has been how to tell if you have low self esteem.	en		7	
--8pSDeC-fg_2-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_2-5-rgb_front.npy	114	127	i3d	asl	And I'm a psychologist in Manhattan, New York City, where I have my own private practice.	en		7	
--8pSDeC-fg_3-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_3-5-rgb_front.npy	242	184	i3d	asl	In this clip I'm going to talk about how to tell if you have low self esteem.	en		7	
--8pSDeC-fg_4-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_4-5-rgb_front.npy	425	214	i3d	asl	Low self esteem or a low feeling about oneself is unfortunately very common.	en		7	
--8pSDeC-fg_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_5-5-rgb_front.npy	639	83	i3d	asl	But fortunately it's very fixable.	en		7	
--8pSDeC-fg_6-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_6-5-rgb_front.npy	722	159	i3d	asl	When one has low self esteem, the way you can tell is look in the mirror.	en		7	
--8pSDeC-fg_7-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_7-5-rgb_front.npy	884	54	i3d	asl	How do you feel about yourself?	en		7	
--8pSDeC-fg_8-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_8-5-rgb_front.npy	938	44	i3d	asl	What do you see?	en		7	
--8pSDeC-fg_9-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--8pSDeC-fg_9-5-rgb_front.npy	986	153	i3d	asl	Do you see the positive parts of your personality or do you notice the negative?	en		7	
--dANj_01AU_0-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_0-5-rgb_front.npy	42	167	i3d	asl	In the side position, we're going to be palming and thumbing the sen lines on the legs.	en		7	
--dANj_01AU_1-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_1-5-rgb_front.npy	208	229	i3d	asl	Now make sure your client is comfortable in the side position, supporting your head, knee supported, arms are resting in front comfortably.	en		7	
--dANj_01AU_10-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_10-5-rgb_front.npy	1834	86	i3d	asl	I lift it up enough to make sure that I'm comfortable.	en		7	
--dANj_01AU_11-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_11-5-rgb_front.npy	1935	167	i3d	asl	Come back and forth.	en		7	
--dANj_01AU_12-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_12-5-rgb_front.npy	2120	78	i3d	asl	Always make sure you get a little thumbing in there too.	en		7	
--dANj_01AU_13-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_13-5-rgb_front.npy	2233	28	i3d	asl	So we're going to start again on this one.	en		7	
--dANj_01AU_14-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_14-5-rgb_front.npy	2269	341	i3d	asl	Place the thumb, place the thumb, just on the side of leg, and just kind of, you'll feel that you'll feel a little groove in there so you're not pressing up on any bones.	en		7	
--dANj_01AU_15-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_15-5-rgb_front.npy	2613	400	i3d	asl	And just thumb up and pressing in the thumb in the area where, my fingerprint would be not on the tips of that stabbing her with my fingernails.	en		7	
--dANj_01AU_16-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_16-5-rgb_front.npy	2203	48	i3d	asl	Be very mindful of that.	en		7	
--dANj_01AU_17-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_17-5-rgb_front.npy	3054	218	i3d	asl	Coming in here and again, nice rocking back and forth, back and forth.	en		7	
--dANj_01AU_18-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_18-5-rgb_front.npy	3345	221	i3d	asl	Not applying too much thumb pressure, to not only save your own thumbs but to not kind of over press on your client.	en		7	
--dANj_01AU_19-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_19-5-rgb_front.npy	3569	103	i3d	asl	Back and forth.	en		7	
--dANj_01AU_2-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_2-5-rgb_front.npy	437	107	i3d	asl	So starting with palming on sen lines with this leg.	en		7	
--dANj_01AU_20-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_20-5-rgb_front.npy	2727	32	i3d	asl	Back and forth.	en		7	
--dANj_01AU_21-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_21-5-rgb_front.npy	2759	105	i3d	asl	Always giving a little bit of Meta, a little loving kindness as you finish.	en		7	
--dANj_01AU_3-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_3-5-rgb_front.npy	544	97	i3d	asl	On the front leg you're going to be doing the outside.	en		7	
--dANj_01AU_4-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_4-5-rgb_front.npy	641	105	i3d	asl	And on the inside leg closest to you, you're going to be doing the inside.	en		7	
--dANj_01AU_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_5-5-rgb_front.npy	745	89	i3d	asl	So we're going to start with the inside leg first.	en		7	
--dANj_01AU_6-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_6-5-rgb_front.npy	841	205	i3d	asl	Placing the palm, placing the palm and then start in a nice rocking fashion.	en		7	
--dANj_01AU_7-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_7-5-rgb_front.npy	1048	136	i3d	asl	Walking it up, rocking it down.	en		7	
--dANj_01AU_8-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_8-5-rgb_front.npy	1208	334	i3d	asl	And you can do this as long or as short as the massage requires, time wise or your client's needs.	en		7	
--dANj_01AU_9-5-rgb_front	/path_to_features/how2sign/i3d_features/train/--dANj_01AU_9-5-rgb_front.npy	1543	223	i3d	asl	Coming to the other one, and again, just in a nice rocking position.	en		7	
-00cp1iGiDw_1-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_1-5-rgb_front.npy	245	186	i3d	asl	If you like to find more about my services you can visit my website canineheadstart.com.	en		3	
-00cp1iGiDw_10_11-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_10_11-5-rgb_front.npy	3248	422	i3d	asl	So that is one option. Another option is if you know your dog has fleas there is something called cap star and this is a product that is oral product.	en		3	
-00cp1iGiDw_12-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_12-5-rgb_front.npy	3671	453	i3d	asl	It works right away and it will actually kill all of the fleas that are on the dog for the next 24 hours and it start working in about 30 minutes.	en		3	
-00cp1iGiDw_13-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_13-5-rgb_front.npy	4123	569	i3d	asl	So if you taken your dog to a place or a friends house or to a training school and you believe that there are fleas there and your dog may have gotten fleas this is a great product to use when you are about to leave before you bring your dog to your home.	en		3	
-00cp1iGiDw_14-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_14-5-rgb_front.npy	4700	262	i3d	asl	Again this is a oral preventive and this is also a oral preventive.	en		3	
-00cp1iGiDw_15-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_15-5-rgb_front.npy	4965	189	i3d	asl	We are going to be talking about external flea prevention in the next video.	en		3	
-00cp1iGiDw_2-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_2-5-rgb_front.npy	433	131	i3d	asl	So we are going to be talking about flea prevention in this short video clip.	en		3	
-00cp1iGiDw_3-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_3-5-rgb_front.npy	573	289	i3d	asl	There are a number of products out there that you can use on your dog obviously one way to prevent fleas is not have you dog go out side but that is not really realistic.	en		3	
-00cp1iGiDw_4-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_4-5-rgb_front.npy	864	148	i3d	asl	So we are going to be talking about products that you can use to prevent fleas.	en		3	
-00cp1iGiDw_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_5-5-rgb_front.npy	1013	202	i3d	asl	In the last of couple of years there has been a increase of different types of options out there that you can use.	en		3	
-00cp1iGiDw_6-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_6-5-rgb_front.npy	1216	206	i3d	asl	I'm just going to talk about three of the ones that are most commonly used and seems to be more effective.	en		3	
